episode,length,total_reward,avg_q,exploration
258,501,447.0,177.3997344970703,0.2761570067839893
259,501,343.0,178.3439483642578,0.27478309132735257
260,501,431.0,175.6911163330078,0.2734160112709976
261,501,379.0,171.56341552734375,0.27205573260795785
262,501,437.0,180.25929260253906,0.2707022215004556
263,337,245.0,174.2650604248047,0.26935544427906033
264,501,379.0,174.1201934814453,0.2680153674418511
265,501,441.0,182.9755859375,0.2666819576535832
266,501,333.0,184.5333251953125,0.26535518174485895
267,501,385.0,180.27877807617188,0.2640350067113025
268,501,427.0,179.02508544921875,0.26272139971273883
269,501,397.0,174.19772338867188,0.26141432807237697
270,501,443.0,168.4942169189453,0.260113759275997
271,501,439.0,159.44918823242188,0.25881966097114134
272,501,411.0,154.0770263671875,0.2575320009663098
273,501,391.0,151.50868225097656,0.256250747230159
274,501,433.0,147.8532257080078,0.2549758678907055
275,501,449.0,140.36715698242188,0.2537073312345328
276,501,297.0,123.48686981201172,0.2524451057060028
277,501,-97.0,111.1883316040039,0.2511891599064705
278,501,137.0,116.15483856201172,0.24993946259350303
279,501,419.0,107.5440444946289,0.24869598268010254
280,501,393.0,110.74984741210938,0.2474586892339329
281,501,383.0,105.11231231689453,0.24622755147655018
282,501,149.0,98.3046875,0.24500253878263703
283,501,-127.0,100.5956802368164,0.24378362067924086
284,501,-77.0,98.25409698486328,0.2425707668450158
285,501,33.0,97.86492919921875,0.24136394710946849
286,501,57.0,102.78347778320312,0.24016313145220747
287,501,147.0,96.12576293945312,0.23896829000219652
288,501,-175.0,100.42613220214844,0.23777939303701148
289,501,-81.0,99.90607452392578,0.236596410982101
290,501,251.0,93.72843170166016,0.23541931441005076
291,501,431.0,94.80269622802734,0.23424807403985154
292,501,471.0,92.52226257324219,0.2330826607361707
293,501,279.0,89.75093841552734,0.23192304550862758
294,501,441.0,91.50125122070312,0.23076919951107225
295,501,413.0,95.80061340332031,0.22962109404086795
296,501,469.0,83.19255828857422,0.2284787005381771
